Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,OT?,Attend.,
Mon. Jan 25. 2021,7:30p,Miami Heat,85,Brooklyn Nets,98,,0,
Mon. Jan 25. 2021,8:00p,Los Angeles Lakers,115,Cleveland Cavaliers,108,,0,
Mon. Jan 25. 2021,8:30p,Denver Nuggets,117,Dallas Mavericks,113,,0,
Mon. Jan 25. 2021,9:00p,Boston Celtics,119,Chicago Bulls,103,,0,
Mon. Jan 25. 2021,10:00p,Minnesota Timberwolves,108,Golden State Warriors,130,,0,
Mon. Jan 25. 2021,10:00p,Oklahoma City Thunder,125,Portland Trail Blazers,122,,0,
Tue. Jan 26. 2021,7:30p,Los Angeles Clippers,99,Atlanta Hawks,108,,"1,180",
Tue. Jan 26. 2021,8:00p,Washington Wizards,88,Houston Rockets,107,,"2,996",
Tue. Jan 26. 2021,9:00p,New York Knicks,94,Utah Jazz,108,,"1,932",
Wed. Jan 27. 2021,7:00p,Indiana Pacers,116,Charlotte Hornets,106,,0,
Wed. Jan 27. 2021,7:00p,Detroit Pistons,107,Cleveland Cavaliers,122,,"1,944",
Wed. Jan 27. 2021,7:00p,Sacramento Kings,121,Orlando Magic,107,,"3,216",
Wed. Jan 27. 2021,7:30p,Brooklyn Nets,132,Atlanta Hawks,128,OT,"1,008",
Wed. Jan 27. 2021,7:30p,Denver Nuggets,109,Miami Heat,82,,0,
Wed. Jan 27. 2021,7:30p,Los Angeles Lakers,106,Philadelphia 76ers,107,,0,
Wed. Jan 27. 2021,7:30p,Milwaukee Bucks,115,Toronto Raptors,108,,0,
Wed. Jan 27. 2021,8:30p,Boston Celtics,106,San Antonio Spurs,110,,0,
Wed. Jan 27. 2021,9:00p,Washington Wizards,106,New Orleans Pelicans,124,,750,
Wed. Jan 27. 2021,9:00p,Oklahoma City Thunder,102,Phoenix Suns,97,,0,
Wed. Jan 27. 2021,9:00p,Dallas Mavericks,104,Utah Jazz,116,,0,
Wed. Jan 27. 2021,10:00p,Minnesota Timberwolves,111,Golden State Warriors,123,,0,
Thu. Jan 28. 2021,7:30p,Portland Trail Blazers,101,Houston Rockets,104,,"3,154",
Thu. Jan 28. 2021,8:00p,Los Angeles Lakers,92,Detroit Pistons,107,,0,
Thu. Jan 28. 2021,8:00p,Los Angeles Clippers,109,Miami Heat,105,,0,
Thu. Jan 28. 2021,10:00p,Golden State Warriors,93,Phoenix Suns,114,,0,
Fri. Jan 29. 2021,7:00p,Indiana Pacers,105,Charlotte Hornets,108,,0,
Fri. Jan 29. 2021,7:00p,Atlanta Hawks,116,Washington Wizards,100,,0,
Fri. Jan 29. 2021,7:30p,Milwaukee Bucks,126,New Orleans Pelicans,131,,"1,440",
Fri. Jan 29. 2021,7:30p,Cleveland Cavaliers,81,New York Knicks,102,,0,
Fri. Jan 29. 2021,7:30p,Sacramento Kings,126,Toronto Raptors,124,,0,
Fri. Jan 29. 2021,8:00p,Philadelphia 76ers,118,Minnesota Timberwolves,94,,0,
Fri. Jan 29. 2021,8:00p,Brooklyn Nets,147,Oklahoma City Thunder,125,,0,
Fri. Jan 29. 2021,8:00p,Los Angeles Clippers,116,Orlando Magic,90,,"3,763",
Fri. Jan 29. 2021,8:30p,Denver Nuggets,109,San Antonio Spurs,119,,0,
Fri. Jan 29. 2021,10:00p,Dallas Mavericks,101,Utah Jazz,120,,"1,932",
Sat. Jan 30. 2021,8:00p,Portland Trail Blazers,123,Chicago Bulls,122,,0,
Sat. Jan 30. 2021,8:00p,Milwaukee Bucks,114,Charlotte Hornets,126,,0,
Sat. Jan 30. 2021,8:00p,Sacramento Kings,104,Miami Heat,105,,0,
Sat. Jan 30. 2021,8:00p,Houston Rockets,126,New Orleans Pelicans,112,,"1,440",
Sat. Jan 30. 2021,8:30p,Los Angeles Lakers,96,Boston Celtics,95,,0,
Sat. Jan 30. 2021,8:30p,Memphis Grizzlies,129,San Antonio Spurs,112,,0,
Sat. Jan 30. 2021,9:00p,Phoenix Suns,111,Dallas Mavericks,105,,0,
Sat. Jan 30. 2021,10:00p,Detroit Pistons,91,Golden State Warriors,118,,0,
Sun. Jan 31. 2021,1:00p,Los Angeles Clippers,129,New York Knicks,115,,0,
Sun. Jan 31. 2021,3:30p,Utah Jazz,117,Denver Nuggets,128,,0,
Sun. Jan 31. 2021,7:00p,Philadelphia 76ers,119,Indiana Pacers,110,,0,
Sun. Jan 31. 2021,7:00p,Orlando Magic,102,Toronto Raptors,115,,0,
Sun. Jan 31. 2021,7:00p,Brooklyn Nets,146,Washington Wizards,149,,0,
Sun. Jan 31. 2021,8:00p,Cleveland Cavaliers,104,Minnesota Timberwolves,109,,0,
Mon. Feb 1. 2021,7:30p,Los Angeles Lakers,107,Atlanta Hawks,99,,"1,341",
Mon. Feb 1. 2021,7:30p,Charlotte Hornets,129,Miami Heat,121,OT,0,
Mon. Feb 1. 2021,8:00p,New York Knicks,102,Chicago Bulls,110,,0,
Mon. Feb 1. 2021,8:00p,Minnesota Timberwolves,98,Cleveland Cavaliers,100,,0,
Mon. Feb 1. 2021,8:00p,Portland Trail Blazers,106,Milwaukee Bucks,134,,0,
Mon. Feb 1. 2021,8:00p,Sacramento Kings,118,New Orleans Pelicans,109,,"1,440",
Mon. Feb 1. 2021,8:00p,Houston Rockets,136,Oklahoma City Thunder,106,,0,
Mon. Feb 1. 2021,8:30p,Phoenix Suns,109,Dallas Mavericks,108,,0,
Mon. Feb 1. 2021,8:30p,Memphis Grizzlies,133,San Antonio Spurs,102,,0,
Tue. Feb 2. 2021,7:00p,Toronto Raptors,123,Orlando Magic,108,,"3,211",
Tue. Feb 2. 2021,7:30p,Los Angeles Clippers,120,Brooklyn Nets,124,,0,
Tue. Feb 2. 2021,8:00p,Memphis Grizzlies,116,Indiana Pacers,134,,0,
Tue. Feb 2. 2021,8:00p,Portland Trail Blazers,132,Washington Wizards,121,,0,
Tue. Feb 2. 2021,10:00p,Boston Celtics,111,Golden State Warriors,107,,0,
Tue. Feb 2. 2021,10:00p,Detroit Pistons,105,Utah Jazz,117,,"3,902",
Wed. Feb 3. 2021,7:00p,Philadelphia 76ers,118,Charlotte Hornets,111,,0,
Wed. Feb 3. 2021,7:00p,Indiana Pacers,110,Milwaukee Bucks,130,,0,
Wed. Feb 3. 2021,7:30p,Dallas Mavericks,122,Atlanta Hawks,116,,"1,259",
Wed. Feb 3. 2021,8:00p,New York Knicks,107,Chicago Bulls,103,,0,
Wed. Feb 3. 2021,8:00p,Los Angeles Clippers,121,Cleveland Cavaliers,99,,"1,944",
Wed. Feb 3. 2021,8:00p,Washington Wizards,103,Miami Heat,100,,0,
Wed. Feb 3. 2021,8:00p,Houston Rockets,87,Oklahoma City Thunder,104,,0,
Wed. Feb 3. 2021,8:30p,Minnesota Timberwolves,108,San Antonio Spurs,111,,0,
Wed. Feb 3. 2021,9:30p,Phoenix Suns,101,New Orleans Pelicans,123,,"1,440",
Wed. Feb 3. 2021,10:00p,Boston Celtics,111,Sacramento Kings,116,,0,
Thu. Feb 4. 2021,7:30p,Utah Jazz,112,Atlanta Hawks,91,,"1,261",
Thu. Feb 4. 2021,7:30p,Golden State Warriors,147,Dallas Mavericks,116,,0,
Thu. Feb 4. 2021,8:00p,Portland Trail Blazers,121,Philadelphia 76ers,105,,0,
Thu. Feb 4. 2021,9:00p,Houston Rockets,115,Memphis Grizzlies,103,,"1,762",
Thu. Feb 4. 2021,10:00p,Denver Nuggets,93,Los Angeles Lakers,114,,0,
Fri. Feb 5. 2021,7:00p,New Orleans Pelicans,114,Indiana Pacers,113,,0,
Fri. Feb 5. 2021,7:00p,Chicago Bulls,119,Orlando Magic,123,,"3,535",
Fri. Feb 5. 2021,7:30p,Toronto Raptors,123,Brooklyn Nets,117,,0,
Fri. Feb 5. 2021,7:30p,Milwaukee Bucks,123,Cleveland Cavaliers,105,,"2,720",
Fri. Feb 5. 2021,8:00p,Utah Jazz,138,Charlotte Hornets,121,,0,
Fri. Feb 5. 2021,8:00p,Washington Wizards,95,Miami Heat,122,,0,
Fri. Feb 5. 2021,8:00p,Minnesota Timberwolves,106,Oklahoma City Thunder,103,,0,
Fri. Feb 5. 2021,9:00p,Detroit Pistons,92,Phoenix Suns,109,,0,
Fri. Feb 5. 2021,10:00p,Boston Celtics,119,Los Angeles Clippers,115,,0,
Sat. Feb 6. 2021,1:00p,Portland Trail Blazers,99,New York Knicks,110,,0,
Sat. Feb 6. 2021,5:00p,Denver Nuggets,114,Sacramento Kings,119,,0,
Sat. Feb 6. 2021,7:00p,Chicago Bulls,118,Orlando Magic,92,,"3,880",
Sat. Feb 6. 2021,8:00p,Toronto Raptors,121,Atlanta Hawks,132,,991,
Sat. Feb 6. 2021,8:00p,Milwaukee Bucks,124,Cleveland Cavaliers,99,,"2,720",
Sat. Feb 6. 2021,8:00p,San Antonio Spurs,111,Houston Rockets,106,,"3,313",
Sat. Feb 6. 2021,8:00p,Minnesota Timberwolves,118,Oklahoma City Thunder,120,,0,
Sat. Feb 6. 2021,8:00p,Brooklyn Nets,108,Philadelphia 76ers,124,,0,
Sat. Feb 6. 2021,8:30p,Golden State Warriors,132,Dallas Mavericks,134,,0,
Sat. Feb 6. 2021,9:00p,Memphis Grizzlies,109,New Orleans Pelicans,118,,"1,440",
Sat. Feb 6. 2021,10:00p,Detroit Pistons,129,Los Angeles Lakers,135,2OT,0,
Sun. Feb 7. 2021,1:00p,Washington Wizards,97,Charlotte Hornets,119,,0,
Sun. Feb 7. 2021,1:00p,Utah Jazz,103,Indiana Pacers,95,,0,
Sun. Feb 7. 2021,1:00p,Miami Heat,109,New York Knicks,103,,0,
Sun. Feb 7. 2021,2:00p,Boston Celtics,91,Phoenix Suns,100,,"1,493",
Sun. Feb 7. 2021,3:00p,Sacramento Kings,113,Los Angeles Clippers,110,,0,
Mon. Feb 8. 2021,7:00p,Houston Rockets,94,Charlotte Hornets,119,,0,
Mon. Feb 8. 2021,8:00p,Washington Wizards,105,Chicago Bulls,101,,0,
Mon. Feb 8. 2021,8:00p,Toronto Raptors,128,Memphis Grizzlies,113,,"1,844",
Mon. Feb 8. 2021,8:30p,Minnesota Timberwolves,122,Dallas Mavericks,127,,"1,000",
Mon. Feb 8. 2021,8:30p,Golden State Warriors,100,San Antonio Spurs,105,,0,
Mon. Feb 8. 2021,9:00p,Cleveland Cavaliers,113,Phoenix Suns,119,,"1,485",
Mon. Feb 8. 2021,9:30p,Milwaukee Bucks,125,Denver Nuggets,112,,0,
Mon. Feb 8. 2021,10:00p,Oklahoma City Thunder,112,Los Angeles Lakers,119,OT,0,
Tue. Feb 9. 2021,7:00p,Brooklyn Nets,111,Detroit Pistons,122,,0,
Tue. Feb 9. 2021,7:30p,New York Knicks,96,Miami Heat,98,,0,
Tue. Feb 9. 2021,7:30p,Houston Rockets,101,New Orleans Pelicans,130,,"1,900",
Tue. Feb 9. 2021,8:30p,Golden State Warriors,114,San Antonio Spurs,91,,0,
Tue. Feb 9. 2021,10:00p,Orlando Magic,97,Portland Trail Blazers,106,,0,
Tue. Feb 9. 2021,10:00p,Philadelphia 76ers,119,Sacramento Kings,111,,0,
Tue. Feb 9. 2021,10:00p,Boston Celtics,108,Utah Jazz,122,,"3,902",
Wed. Feb 10. 2021,7:00p,Toronto Raptors,137,Washington Wizards,115,,0,
Wed. Feb 10. 2021,7:30p,Atlanta Hawks,117,Dallas Mavericks,118,,"1,000",
Wed. Feb 10. 2021,8:00p,Indiana Pacers,94,Brooklyn Nets,104,,0,
Wed. Feb 10. 2021,8:00p,Charlotte Hornets,114,Memphis Grizzlies,130,,"1,830",
Wed. Feb 10. 2021,8:00p,Los Angeles Clippers,119,Minnesota Timberwolves,112,,0,
Wed. Feb 10. 2021,9:00p,New Orleans Pelicans,116,Chicago Bulls,129,,0,
Wed. Feb 10. 2021,9:00p,Cleveland Cavaliers,95,Denver Nuggets,133,,0,
Wed. Feb 10. 2021,10:00p,Oklahoma City Thunder,113,Los Angeles Lakers,114,OT,0,
Wed. Feb 10. 2021,10:00p,Milwaukee Bucks,124,Phoenix Suns,125,,"1,491",
Thu. Feb 11. 2021,7:30p,Toronto Raptors,106,Boston Celtics,120,,0,
Thu. Feb 11. 2021,7:30p,Miami Heat,101,Houston Rockets,94,,"3,251",
Thu. Feb 11. 2021,8:00p,Indiana Pacers,111,Detroit Pistons,95,,0,
Thu. Feb 11. 2021,10:00p,Orlando Magic,105,Golden State Warriors,111,,0,
Thu. Feb 11. 2021,10:00p,Philadelphia 76ers,114,Portland Trail Blazers,118,,0,
Fri. Feb 12. 2021,7:00p,Minnesota Timberwolves,114,Charlotte Hornets,120,,0,
Fri. Feb 12. 2021,7:00p,New York Knicks,109,Washington Wizards,91,,0,
Fri. Feb 12. 2021,7:30p,San Antonio Spurs,125,Atlanta Hawks,114,,"1,451",
Fri. Feb 12. 2021,7:30p,New Orleans Pelicans,130,Dallas Mavericks,143,,"1,514",
Fri. Feb 12. 2021,8:00p,Detroit Pistons,108,Boston Celtics,102,,0,
Fri. Feb 12. 2021,8:00p,Los Angeles Clippers,125,Chicago Bulls,106,,0,
Fri. Feb 12. 2021,9:00p,Oklahoma City Thunder,95,Denver Nuggets,97,,0,
Fri. Feb 12. 2021,9:00p,Milwaukee Bucks,115,Utah Jazz,129,,"3,902",
Fri. Feb 12. 2021,10:00p,Memphis Grizzlies,105,Los Angeles Lakers,115,,0,
Fri. Feb 12. 2021,10:00p,Cleveland Cavaliers,110,Portland Trail Blazers,129,,0,
Fri. Feb 12. 2021,10:00p,Orlando Magic,123,Sacramento Kings,112,,0,
Sat. Feb 13. 2021,3:00p,Philadelphia 76ers,111,Phoenix Suns,120,,"1,652",
Sat. Feb 13. 2021,7:30p,Indiana Pacers,125,Atlanta Hawks,113,,"1,393",
Sat. Feb 13. 2021,8:00p,Houston Rockets,99,New York Knicks,121,,0,
Sat. Feb 13. 2021,8:30p,Brooklyn Nets,134,Golden State Warriors,117,,0,
Sat. Feb 13. 2021,9:00p,Miami Heat,94,Utah Jazz,112,,"3,902",
Sun. Feb 14. 2021,1:00p,Boston Celtics,91,Washington Wizards,104,,0,
Sun. Feb 14. 2021,7:00p,San Antonio Spurs,122,Charlotte Hornets,110,,0,
Sun. Feb 14. 2021,7:00p,New Orleans Pelicans,112,Detroit Pistons,123,,0,
Sun. Feb 14. 2021,7:00p,Minnesota Timberwolves,116,Toronto Raptors,112,,0,
Sun. Feb 14. 2021,7:30p,Portland Trail Blazers,121,Dallas Mavericks,118,,"2,211",
Sun. Feb 14. 2021,8:00p,Milwaukee Bucks,109,Oklahoma City Thunder,114,,0,
Sun. Feb 14. 2021,9:00p,Orlando Magic,90,Phoenix Suns,109,,"1,732",
Sun. Feb 14. 2021,10:00p,Los Angeles Lakers,105,Denver Nuggets,122,,0,
Sun. Feb 14. 2021,10:00p,Cleveland Cavaliers,111,Los Angeles Clippers,128,,0,
Sun. Feb 14. 2021,10:00p,Memphis Grizzlies,124,Sacramento Kings,110,,0,
Mon. Feb 15. 2021,7:00p,Chicago Bulls,120,Indiana Pacers,112,OT,0,
Mon. Feb 15. 2021,7:00p,Houston Rockets,119,Washington Wizards,131,,0,
Mon. Feb 15. 2021,7:30p,Atlanta Hawks,112,New York Knicks,123,,0,
Mon. Feb 15. 2021,9:00p,Philadelphia 76ers,123,Utah Jazz,134,,"3,902",
Mon. Feb 15. 2021,10:00p,Cleveland Cavaliers,98,Golden State Warriors,129,,,
Mon. Feb 15. 2021,10:00p,Miami Heat,118,Los Angeles Clippers,125,,0,
Mon. Feb 15. 2021,10:00p,Brooklyn Nets,136,Sacramento Kings,125,,0,
Tue. Feb 16. 2021,7:00p,Denver Nuggets,99,Boston Celtics,112,,0,
Tue. Feb 16. 2021,8:00p,New Orleans Pelicans,144,Memphis Grizzlies,113,,"1,982",
Tue. Feb 16. 2021,8:00p,Toronto Raptors,124,Milwaukee Bucks,113,,250,
Tue. Feb 16. 2021,8:00p,Los Angeles Lakers,112,Minnesota Timberwolves,104,,0,
Tue. Feb 16. 2021,8:00p,Portland Trail Blazers,115,Oklahoma City Thunder,104,,0,
Tue. Feb 16. 2021,10:30p,Brooklyn Nets,128,Phoenix Suns,124,,"3,181",
Wed. Feb 17. 2021,7:00p,New York Knicks,89,Orlando Magic,107,,"4,249",
Wed. Feb 17. 2021,7:30p,Atlanta Hawks,122,Boston Celtics,114,,0,
Wed. Feb 17. 2021,7:30p,Houston Rockets,113,Philadelphia 76ers,118,,0,
Wed. Feb 17. 2021,8:00p,Detroit Pistons,102,Chicago Bulls,105,,0,
Wed. Feb 17. 2021,8:00p,Indiana Pacers,134,Minnesota Timberwolves,128,OT,0,
Wed. Feb 17. 2021,8:00p,Denver Nuggets,128,Washington Wizards,130,,0,
Wed. Feb 17. 2021,9:00p,Oklahoma City Thunder,113,Memphis Grizzlies,122,,0,
Wed. Feb 17. 2021,9:00p,Portland Trail Blazers,126,New Orleans Pelicans,124,,"1,940",
Wed. Feb 17. 2021,10:00p,Miami Heat,112,Golden State Warriors,120,OT,,
Wed. Feb 17. 2021,10:00p,Utah Jazz,114,Los Angeles Clippers,96,,,
Thu. Feb 18. 2021,7:30p,Toronto Raptors,110,Milwaukee Bucks,96,,500,
Thu. Feb 18. 2021,10:00p,Brooklyn Nets,109,Los Angeles Lakers,98,,0,
Thu. Feb 18. 2021,10:00p,Miami Heat,118,Sacramento Kings,110,,0,
Fri. Feb 19. 2021,7:00p,Denver Nuggets,120,Cleveland Cavaliers,103,,"2,720",
Fri. Feb 19. 2021,7:00p,Golden State Warriors,120,Orlando Magic,124,,"4,287",
Fri. Feb 19. 2021,7:30p,Atlanta Hawks,109,Boston Celtics,121,,0,
Fri. Feb 19. 2021,7:30p,Chicago Bulls,105,Philadelphia 76ers,112,,0,
Fri. Feb 19. 2021,8:00p,Detroit Pistons,95,Memphis Grizzlies,109,,"1,795",
Fri. Feb 19. 2021,8:00p,Oklahoma City Thunder,85,Milwaukee Bucks,98,,750,
Fri. Feb 19. 2021,8:00p,Phoenix Suns,132,New Orleans Pelicans,114,,"1,940",
Fri. Feb 19. 2021,9:00p,Toronto Raptors,86,Minnesota Timberwolves,81,,0,
Fri. Feb 19. 2021,10:00p,Utah Jazz,112,Los Angeles Clippers,116,,0,
Sat. Feb 20. 2021,8:00p,Golden State Warriors,100,Charlotte Hornets,102,,0,
Sat. Feb 20. 2021,8:30p,Miami Heat,96,Los Angeles Lakers,94,,0,
Sat. Feb 20. 2021,9:00p,Sacramento Kings,114,Chicago Bulls,122,,0,
Sat. Feb 20. 2021,9:00p,Phoenix Suns,128,Memphis Grizzlies,97,,"1,994",
Sat. Feb 20. 2021,10:00p,Washington Wizards,118,Portland Trail Blazers,111,,0,
Sun. Feb 21. 2021,3:30p,Boston Celtics,115,New Orleans Pelicans,120,OT,"1,940",
Sun. Feb 21. 2021,7:00p,Oklahoma City Thunder,117,Cleveland Cavaliers,101,,"2,720",
Sun. Feb 21. 2021,7:00p,Minnesota Timberwolves,99,New York Knicks,103,,0,
Sun. Feb 21. 2021,7:00p,Detroit Pistons,96,Orlando Magic,105,,"4,002",
Sun. Feb 21. 2021,7:00p,Philadelphia 76ers,103,Toronto Raptors,110,,0,
Sun. Feb 21. 2021,7:30p,Denver Nuggets,115,Atlanta Hawks,123,,"1,362",
Sun. Feb 21. 2021,8:00p,Brooklyn Nets,112,Los Angeles Clippers,108,,,
Sun. Feb 21. 2021,9:00p,Sacramento Kings,115,Milwaukee Bucks,128,,"1,800",
Mon. Feb 22. 2021,8:00p,Chicago Bulls,120,Houston Rockets,100,,"3,025",
Mon. Feb 22. 2021,8:30p,Memphis Grizzlies,92,Dallas Mavericks,102,,"2,099",
Mon. Feb 22. 2021,9:00p,Miami Heat,108,Oklahoma City Thunder,94,,0,
Mon. Feb 22. 2021,9:00p,Portland Trail Blazers,100,Phoenix Suns,132,,"3,213",
Mon. Feb 22. 2021,9:00p,Charlotte Hornets,110,Utah Jazz,132,,"3,902",
Mon. Feb 22. 2021,10:00p,Washington Wizards,127,Los Angeles Lakers,124,OT,0,
Tue. Feb 23. 2021,7:00p,Atlanta Hawks,111,Cleveland Cavaliers,112,,"2,720",
Tue. Feb 23. 2021,7:00p,Detroit Pistons,105,Orlando Magic,93,,"3,631",
Tue. Feb 23. 2021,7:30p,Sacramento Kings,118,Brooklyn Nets,127,,324,
Tue. Feb 23. 2021,7:30p,Boston Celtics,107,Dallas Mavericks,110,,"3,338",
Tue. Feb 23. 2021,7:30p,Golden State Warriors,114,New York Knicks,106,,"1,981",
Tue. Feb 23. 2021,7:30p,Philadelphia 76ers,109,Toronto Raptors,102,,0,
Tue. Feb 23. 2021,8:00p,Minnesota Timberwolves,112,Milwaukee Bucks,139,,"1,800",
Tue. Feb 23. 2021,10:00p,Portland Trail Blazers,106,Denver Nuggets,111,,0,
Tue. Feb 23. 2021,10:00p,Washington Wizards,116,Los Angeles Clippers,135,,0,
Wed. Feb 24. 2021,7:30p,Boston Celtics,112,Atlanta Hawks,127,,"1,537",
Wed. Feb 24. 2021,7:30p,Houston Rockets,96,Cleveland Cavaliers,112,,"2,720",
Wed. Feb 24. 2021,7:30p,Golden State Warriors,111,Indiana Pacers,107,,0,
Wed. Feb 24. 2021,8:00p,Minnesota Timberwolves,126,Chicago Bulls,133,OT,0,
Wed. Feb 24. 2021,8:00p,Toronto Raptors,108,Miami Heat,116,,0,
Wed. Feb 24. 2021,8:00p,Detroit Pistons,118,New Orleans Pelicans,128,,"2,700",
Wed. Feb 24. 2021,8:00p,San Antonio Spurs,99,Oklahoma City Thunder,102,,0,
Wed. Feb 24. 2021,9:00p,Charlotte Hornets,124,Phoenix Suns,121,,"3,296",
Wed. Feb 24. 2021,10:00p,Los Angeles Lakers,89,Utah Jazz,114,,"4,912",
Thu. Feb 25. 2021,7:00p,Dallas Mavericks,97,Philadelphia 76ers,111,,0,
Thu. Feb 25. 2021,7:30p,Orlando Magic,92,Brooklyn Nets,129,,327,
Thu. Feb 25. 2021,7:30p,Sacramento Kings,121,New York Knicks,140,,"1,981",
Thu. Feb 25. 2021,8:00p,Los Angeles Clippers,94,Memphis Grizzlies,122,,"1,896",
Thu. Feb 25. 2021,9:00p,Washington Wizards,112,Denver Nuggets,110,,0,
